Id,ProductionBudget,DomesticGross,WorldwideGross,DomesticBoxOffice,InternationalBoxOffice,WorldwideBoxOffice,DomesticDVDSales,DomesticBluRaySales,TotalDomesticVideoSales,OpeningWeekend,Legs,InflAdjDomBO,RunningTime
52,210000000,234362462,459260946,234362462,224898484,459260946,104988193,1073393,106061586,102750665,2.28,385714092,104
53,210000000,105487148,322459006,105487148,216971858,322459006,47705087,16451955,64157042,36063385,2.93,144125657,139
54,207000000,218080025,550517357,218080025,332437332,550517357,142397858,3980832,146378690,50130145,4.35,364973469,189
55,205000000,124481226,439381226,124481226,314900000,439381226,,,,27686211,4.5,124481226,124
56,205000000,70107728,367262558,70107728,297154830,367262558,41953948,,41953948,25783232,2.72,109558132,113
57,205000000,59473550,366273550,59473550,306800000,366273550,6634794,21427537,28062331,20001852,2.97,69617757,110
58,200000000,814811535,1921206586,814811535,1106395051,1921206586,10449579,35743862,46193441,260138569,3.13,854904192,148
59,200000000,700059566,1334157082,700059566,634097516,1334157082,34155188,70383275,104538463,202003951,3.47,828391008,120
60,200000000,674460013,2223048786,674460013,1548588773,2223048786,,,,28638131,19.02,1480871432,194
61,200000000,652980194,1698863816,652980194,1045883622,1698863816,,,,154201673,4.23,652980194,100
62,200000000,636745858,1338071348,636745858,701325490,1338071348,,,,211435291,3.01,636745858,127
63,200000000,608581744,1242805359,608581744,634223615,1242805359,21760132,50365811,72125943,182687905,3.33,720143929,118
64,200000000,486295561,1025006125,486295561,538710564,1025006125,37710942,60310253,98021195,135060273,3.6,606042329,103
65,200000000,434038008,1071177215,434038008,637139207,1071177215,19253261,39369817,58623078,120908065,3.59,510800188,89
66,200000000,415004880,1068879522,415004880,653874642,1068879522,202153055,57898704,260051759,110307189,3.76,567015538,102
67,200000000,411331607,952224986,411331607,540893379,952224986,4850329,12975208,17825537,187420998,2.19,421097307,126
68,200000000,408992272,1214630956,408992272,805638684,1214630956,30246047,56844398,87090445,174144585,2.35,542304631,130
69,200000000,389813101,869087963,389813101,479274862,869087963,21166272,59308059,80474331,146510104,2.66,468471031,136
70,200000000,374715055,795888127,374715055,421173072,795888127,,,,88156227,4.25,649595383,127
71,200000000,369612903,772512903,369612903,402900000,772512903,4005270,14028314,18033584,134008624,2.76,378381795,175
72,200000000,334191110,1025491110,334191110,691300000,1025491110,85839668,35216042,121055710,116101023,2.88,456600774,108
73,200000000,304360277,1110526981,304360277,806166704,1110526981,48146962,52967421,101114383,88364714,3.44,411972425,143
74,200000000,303003568,1014938545,303003568,711934977,1014938545,54928619,91282751,146211370,84617303,3.58,409239868,169
75,200000000,268488329,743455810,268488329,474967481,743455810,67970737,66228597,134199334,82429469,3.26,356002967,102
76,200000000,234770996,490359051,234770996,255588055,490359051,28410153,24884802,53294955,79110453,2.97,311295364,130
77,200000000,233921534,747862775,233921534,513941241,747862775,25344847,52558588,77903435,90823660,2.58,308650437,131
78,200000000,221468955,627996941,221468955,406527986,627996941,,,,35409365,6.02,221468955,118
79,200000000,214506909,463635303,214506909,249128394,463635303,1376981,3773123,5150104,106109650,2.02,214506909,124
80,200000000,203530343,709672746,203530343,506142403,709672746,21881237,26804162,48685399,91608337,2.22,268334337,141
81,200000000,191450875,560155383,191450875,368704508,560155383,106557112,40805893,147363005,66135507,2.89,260257303,107
82,200000000,183651655,379751131,183651655,196099476,379751131,8385429,14894819,23280248,80366312,2.29,194667137,133
83,200000000,173956935,760732926,173956935,586775991,760732926,22376388,26093756,48470144,60038950,2.9,204722247,134
84,200000000,173005945,719360068,173005945,546354123,719360068,14799269,20803078,35602347,70043165,2.47,183382903,145
85,200000000,172062763,399866199,172062763,227803436,399866199,26616182,34528953,61145135,44026211,3.91,234806122,125
86,200000000,168283344,393583344,168283344,225300000,393583344,6144244,9957287,16101531,67004323,2.51,172175368,124
87,200000000,166112167,757677748,166112167,591565581,757677748,53617352,23968289,77585641,65237614,2.55,238568860,158
88,200000000,164870264,401731759,164870264,236861495,401731759,1771542,4261771,6033313,71297219,2.31,174752866,156
89,200000000,159555901,648455339,159555901,488899438,648455339,14146230,30421089,44567319,62163104,2.57,188786981,134
90,200000000,154426697,484829737,154426697,330403040,484829737,1212819,1418042,2630861,29602429,5.22,154426702,102
91,200000000,125322469,365491792,125322469,240169323,365491792,30486768,24270538,54757306,42558390,2.94,180130167,116
92,200000000,118307188,218878024,118307188,100570836,218878024,1577129,2109905,3687034,50577961,2.34,121115995,110
93,200000000,116987516,210469803,116987516,93482287,210469803,3066561,5768326,8834887,35018731,3.34,124004464,90
