Id,ProductionBudget,DomesticGross,WorldwideGross,DomesticBoxOffice,InternationalBoxOffice,WorldwideBoxOffice,DomesticDVDSales,DomesticBluRaySales,TotalDomesticVideoSales,OpeningWeekend,Legs,InflAdjDomBO,RunningTime
715,80000000,73215310,106515310,73215310,33300000,106515310,,,,17770036,4.12,135845270,84
716,80000000,69772969,147080413,69772969,77307444,147080413,,,,18145632,3.85,132889146,97
717,80000000,69117629,136047317,69117629,66929688,136047317,,,,20154919,3.43,158867383,130
718,80000000,65948711,96135872,65948711,30187161,96135872,,,,20018620,3.29,114481013,130
719,80000000,64038616,181038616,64038616,117000000,181038616,41989933,,41989933,20574802,3.11,105200317,126
720,80000000,63313159,131159306,63313159,67846147,131159306,,,,20131130,3.15,106476723,98
721,80000000,60507228,60518248,60507228,11020,60518248,,,,2290525,19.27,121293994,75
722,80000000,59908565,100378271,59908565,40469706,100378271,34706180,,34706180,10033960,5.45,96636534,160
723,80000000,56684819,98983590,56684819,42298771,98983590,,,,22610437,2.51,105174240,96
724,80000000,55485043,71485043,55485043,16000000,71485043,,,,15833592,3.5,127532779,113
725,80000000,50632037,50632037,50632037,,,,,,10602042,4.78,112411285,114
726,80000000,50188370,135154826,50188370,84966456,135154826,3219896,6546093,9765989,19001398,2.64,59064472,124
727,80000000,45575336,141475336,45575336,95900000,141475336,30187531,,30187531,16328506,2.79,76646188,126
728,80000000,43817106,100298817,43817106,56481711,100298817,,,,15335860,2.86,43817106,116
729,80000000,40774679,104272136,40774679,63497457,104272136,,,,14079512,2.9,40774682,133
730,80000000,39442871,58270391,39442871,18827520,58270391,,,,16063904,2.46,78829030,91
731,80000000,38577772,119668350,38577772,81090578,119668350,12679198,4478235,17157433,14902692,2.59,55449118,89
732,80000000,38311134,98341932,38311134,60030798,98341932,,,,13408351,2.86,72967136,101
733,80000000,37899638,105299638,37899638,67400000,105299638,,,,15092079,2.51,63737612,120
734,80000000,37771017,101371017,37771017,63600000,101371017,,,,9384272,4.02,91761247,103
735,80000000,37384046,99010667,37384046,61626621,99010667,43241618,,43241618,9684809,3.86,61526710,82
736,80000000,36076121,123368842,36076121,87292721,123368842,8553225,4048590,12601815,7091938,4.96,47804524,87
737,80000000,34566746,66554547,34566746,31987801,66554547,,206260,206260,46668,3.06,65867719,145
738,80000000,32908290,158908290,32908290,126000000,158908290,,,,10015875,3.29,79921594,115
739,80000000,27367660,130818912,27367660,103451252,130818912,10990922,7970468,18961390,10812861,2.53,34996839,98
740,80000000,23169033,108469033,23169033,85300000,108469033,4161367,4809732,8971099,10340823,2.24,30570635,102
741,80000000,21471685,29725663,21471685,8253978,29725663,,,,11548898,1.86,42943370,118
742,80000000,20950820,54540662,20950820,33589842,54540662,,,,9317371,2.25,37440244,91
743,80000000,19676965,56984219,19676965,37307254,56984219,5940198,1011395,6951593,257232,3.61,27860964,118
744,80000000,19480739,26703184,19480739,7222445,26703184,,,,8440629,2.31,34807208,116
745,80000000,19422319,86787530,19422319,67365211,86787530,6584291,1969218,8553509,6058958,3.21,26536447,84
746,80000000,18319860,69131860,18319860,50812000,69131860,,,,6162640,2.97,41722621,96
747,80000000,17650704,20841123,17650704,3190419,20841123,,,,5260324,3.36,41290612,
748,80000000,17480890,33463969,17480890,15983079,33463969,,,,8721296,2,34941203,106
749,80000000,15132763,113325743,15132763,98192980,113325743,13213394,,13213394,4294936,3.52,23710923,94
750,80000000,15074191,40147042,15074191,25072851,40147042,5172575,,5172575,5951409,2.53,23619152,99
751,80000000,14947969,29400826,14947969,14452857,29400826,,,,6444896,2.32,15302857,134
752,80000000,1900451,6300451,1900451,4400000,6300451,,,,917398,2.07,3196076,103
753,80000000,0,6628721,,6628721,6628721,,,,,,,101
754,79300000,423981226,988389726,423981226,564408500,988389726,,,,1586753,10.37,981448779,87
755,79000000,103860290,318146162,103860290,214285872,318146162,22019618,8987642,31007260,27335363,3.8,140655015,52
756,79000000,74158157,150519217,74158157,76361060,150519217,12722355,2350197,15072552,25003575,2.97,100797592,90
757,78000000,170708996,317668058,170708996,146959062,317668058,,,,367151,10.3,318594837,134
758,78000000,143891790,324778862,143891790,180887072,324778862,,,,35790150,4.02,143891790,102
759,78000000,119793567,274392649,119793567,154599082,274392649,29404229,20578744,49982973,34017930,3.52,158826505,95
760,78000000,92955420,206455420,92955420,113500000,206455420,,,,36540945,2.54,172471495,124
761,78000000,67286731,108086731,67286731,40800000,108086731,,,,18829435,3.57,116803693,136
762,78000000,66465204,179265204,66465204,112800000,179265204,,,,23075892,2.88,118821698,110
763,78000000,41814863,43957541,41814863,2142678,43957541,,,,18054001,2.32,72586828,114
764,77600000,0,60680125,,60680125,60680125,,,,,,,110
765,77500000,1311213,102027275,1311213,100716062,102027275,,15964,15964,116927,9.18,1634086,108
766,77500000,0,1521672,,1521672,1521672,2559290,917620,3476910,,,,105
767,77000000,102084362,190376181,102084362,88291819,190376181,13187908,12943130,26131038,36011640,2.83,120797953,129
768,76000000,368065385,975216835,368065385,607151450,975216835,133462207,116649424,250111631,84227980,4.37,488036774,98
769,76000000,127120058,236410607,127120058,109290549,236410607,,,,50472480,2.52,227256080,107
770,76000000,35552383,69845011,35552383,34292628,69845011,26473311,,26473311,501003,3.49,55808815,109
771,76000000,26000610,35129610,26000610,9129000,35129610,,,,6814270,3.82,52001211,92
772,75000000,369094830,886013000,369094830,516918170,886013000,50134008,51284186,101418194,104352905,3.54,459683250,91
773,75000000,306169255,817400878,306169255,511231623,817400878,,,,50228264,6.1,746720488,145
774,75000000,272961295,514330681,272961295,241369386,514330681,33601064,29061856,62662920,67572855,4.04,321644240,86
775,75000000,270329045,631064182,270329045,360735137,631064182,29792769,42522946,72315715,35258145,6.3,332279367,108
776,75000000,264624300,1032809657,264624300,768185357,1032809657,21741867,27157121,48898988,72434025,3.65,318021168,90
777,75000000,229086679,618638999,229086679,389552320,618638999,,,,72132785,3.18,538029272,134
778,75000000,195330621,651899282,195330621,456568661,651899282,135276218,2571555,137847773,68033544,2.87,321475425,91
779,75000000,193595521,556559566,193595521,362964045,556559566,,,,47224594,4.1,325578735,86
780,75000000,171016727,326685379,171016727,155668652,326685379,23115258,48315806,71431064,56818067,3.01,201262029,131
781,75000000,162001186,272222420,162001186,110221234,272222420,48043319,11974065,60017384,40506564,4,221340027,102
782,75000000,161412000,371741123,161412000,210329123,371741123,,,,47604606,3.39,280161463,90
783,75000000,157299717,296872367,157299717,139572650,296872367,,,,54471475,2.89,314599424,104
784,75000000,156248615,276148615,156248615,119900000,276148615,918584,1279194,2197778,58370007,2.68,156248615,116
785,75000000,134508551,342416460,134508551,207907909,342416460,72981576,,72981576,50927085,2.64,201950159,110
786,75000000,134069511,336069511,134069511,202000000,336069511,,,,25069525,5.35,326984005,136
787,75000000,129360575,203540177,129360575,74179602,203540177,7648204,12616806,20265010,44008406,2.94,136866653,125
788,75000000,120776832,196320329,120776832,75543497,196320329,,,,39852237,3.03,209657687,96
789,75000000,120634935,393439007,120634935,272804072,393439007,10645829,10971605,21617434,34952180,3.45,142749127,114
790,75000000,118871849,202822861,118871849,83951012,202822861,104955283,,104955283,27476745,4.33,186255600,115
791,75000000,117723989,342769200,117723989,225045211,342769200,19555056,15558654,35113710,29350389,4.01,156096502,116
792,75000000,103365956,155620350,103365956,52254394,155620350,54530489,,54530489,378950,7.33,164885921,130
793,75000000,99215042,197744377,99215042,98529335,197744377,10611815,14214394,24826209,24585139,4.04,117402641,104
794,75000000,97387965,97387965,97387965,,,,,,21889138,4.45,206661860,78
795,75000000,83504017,211562435,83504017,128058418,211562435,20061165,16172855,36234020,32206425,2.59,113510576,110
796,75000000,77073959,218673959,77073959,141600000,218673959,,378220,378220,19053199,4.05,133793437,128
797,75000000,75976178,221593554,75976178,145617376,221593554,,,,29769098,2.55,127772720,121
798,75000000,73865530,162759437,73865530,88893907,162759437,3688316,7571754,11260070,39005895,1.89,75619221,108
799,75000000,73661010,141267370,73661010,67606360,141267370,76656425,3409996,80066421,22217226,3.32,121231395,91
800,75000000,68473360,213500000,68473360,145026640,213500000,,,,15507845,4.42,135363608,124
801,75000000,66661095,119512771,66661095,52851676,119512771,18601808,,18601808,9656250,5.55,102814714,97
802,75000000,64062587,73521587,64062587,9459000,73521587,,,,20414775,3.14,135943831,108
803,75000000,60761390,188668889,60761390,127907499,188668889,9779248,11326827,21106075,20612100,2.95,71497800,85
804,75000000,59098421,128317666,59098421,69219245,128317666,,,,24613970,2.4,59098421,104
805,75000000,55849401,94944017,55849401,39094616,94944017,,,,23450212,2.38,93924577,
806,75000000,53809574,147474138,53809574,93664564,147474138,722259,879117,1601376,14423794,3.73,56863638,160
807,75000000,47379090,131492772,47379090,84113682,131492772,34629868,,34629868,4152260,6.26,78489536,164
808,75000000,47059963,95572749,47059963,48512786,95572749,18799435,2286047,21085482,15837266,2.97,64297385,100
809,75000000,45445109,110045109,45445109,64600000,110045109,5369357,3869600,9238957,13421036,3.39,58113665,106
810,75000000,43632458,85632458,43632458,42000000,85632458,,,,17057213,2.56,78002959,109
811,75000000,42285169,72785169,42285169,30500000,72785169,13382980,,13382980,18044396,2.34,69592985,110
812,75000000,42044321,54344321,42044321,12300000,54344321,,,,8817853,4.77,72387042,133
813,75000000,41523271,71523271,41523271,30000000,71523271,,,,13050700,3.18,79080592,123
814,75000000,39251128,39251128,39251128,,,,,,5223416,7.32,81520807,
815,75000000,37361412,127361412,37361412,90000000,127361412,,,,10856442,3.44,92587587,134
816,75000000,36392502,89758389,36392502,53365887,89758389,8357291,11190596,19547887,19058199,1.91,49471770,110
817,75000000,34636443,77636443,34636443,43000000,77636443,,,,10214734,3.39,58249741,113
818,75000000,34343574,219519367,34343574,185175793,219519367,6093878,4939205,11033083,14860425,2.31,42795005,121
819,75000000,30207785,50409753,30207785,20201968,50409753,,,,11112632,2.72,54003294,115
820,75000000,22751979,36751979,22751979,14000000,36751979,,,,9376845,2.43,45503954,
821,75000000,21009180,34009180,21009180,13000000,34009180,,,,5019430,4.19,36237735,113
822,75000000,14623082,14623082,14623082,,,,,,6447237,2.27,33611253,
823,75000000,14570455,18902798,14570455,4332343,18902798,534475,873779,1408254,4621765,3.15,14916372,124
824,75000000,14010690,30626690,14010690,16616000,30626690,,,,6013640,2.33,29731337,99
825,75000000,5600000,33398822,5600000,27798822,33398822,,,,5600000,1,5600000,
826,75000000,5409517,5409517,5409517,,,,,,2685078,2.01,10302931,93
827,75000000,1115008,16288031,1115008,15173023,16288031,39343,,39343,656530,1.7,1312196,99
828,75000000,0,762858,,762858,762858,,,,,,,145
829,75000000,0,470000,,470000,470000,170310,67191,237501,,,,113
830,75000000,0,0,,,,,,,,,,
831,74000000,336045770,1157271759,336045770,821225989,1157271759,60281300,65491098,125772398,115718405,2.9,429724013,91
832,74000000,162994032,311013181,162994032,148019149,311013181,13958448,10834486,24792934,55365012,2.94,208431268,93
833,74000000,105344029,192327444,105344029,86983415,192327444,4630058,2747933,7377991,30453269,3.46,107845071,112
834,73243106,94999143,248099143,94999143,153100000,248099143,,,,30330771,3.13,189524549,107
835,73000000,148213377,162870525,148213377,14657148,162870525,88499124,642882,89142006,47042215,3.15,243929797,104
836,73000000,107509366,352288341,107509366,244778975,352288341,15844868,12466678,28311546,38155177,2.82,133982766,97
837,73000000,55591409,103891409,55591409,48300000,103891409,,,,16310373,3.41,127777259,99
838,73000000,37068294,50168294,37068294,13100000,50168294,,,,16586765,2.23,85201746,128
839,72500000,183135014,527071022,183135014,343936008,527071022,97413084,,97413084,74036787,2.47,286947010,86
840,72500000,70231041,109362966,70231041,39131925,109362966,21301469,,21301469,21589295,3.25,105444376,112
841,72500000,51855045,71880305,51855045,20025260,71880305,15521325,,15521325,22657780,2.29,74532985,146
842,72500000,47467250,86802457,47467250,39335207,86802457,34834447,974356,35808803,17135055,2.77,74374551,111
843,72000000,127630880,299350661,127630880,171719781,299350661,,,,12453275,7.5,127630880,
844,72000000,112950721,176101721,112950721,63151000,176101721,,,,25037039,4.51,215125216,87
845,72000000,75545647,209045244,75545647,133499597,209045244,,,,12908202,5.85,186879633,177
846,72000000,62647540,96947540,62647540,34300000,96947540,53139255,,53139255,27726210,2.26,105350396,122
847,72000000,32616869,54616869,32616869,22000000,54616869,,,,12174504,2.68,62121874,117
848,72000000,27796042,37306334,27796042,9510292,37306334,,,,4904339,5.13,52726877,152
849,72000000,19176754,62176754,19176754,43000000,62176754,,,,6144160,3.12,33289114,109
850,71682975,114197520,257641634,114197520,143444114,257641634,,,,50746142,2.25,198236589,109
851,71500000,144156605,294156605,144156605,150000000,294156605,,,,29014324,4.97,331344774,85
852,70702619,227969295,408250578,227969295,180281283,408250578,,,,60116619,3.79,422964317,106
853,70000000,441426807,935454538,441426807,494027731,935454538,,,,108037878,4.09,766038658,92
854,70000000,244082982,461630558,244082982,217547576,461630558,299241320,15004591,314245911,60119509,4.06,401712140,116
855,70000000,219614612,443483213,219614612,223868601,443483213,74732246,8544237,83276483,48875415,4.49,311133880,89
856,70000000,211593228,467561586,211593228,255968358,467561586,10653394,16584816,27238210,91062152,2.32,249014734,169
857,70000000,154112492,351500000,154112492,197387508,351500000,,,,11226239,10.62,404409954,103
858,70000000,152257509,310138178,152257509,157880669,310138178,,,,35055556,4.34,323086000,116
859,70000000,141930000,267200000,141930000,125270000,267200000,,,,44506103,3.19,263339995,124
860,70000000,140218711,297718711,140218711,157500000,297718711,9480646,6418094,15898740,41607378,3.37,165922914,110
861,70000000,136492681,308700000,136492681,172207319,308700000,,,,34216088,3.99,332233488,121
862,70000000,120774594,316802281,120774594,196027687,316802281,65961082,33175193,99136275,38054676,3.17,173593348,152
863,70000000,119654823,300854823,119654823,181200000,300854823,,,,13522535,7.86,307415686,135
864,70000000,118700272,180329865,118700272,61629593,180329865,,,,28007544,4.24,118700272,100
865,70000000,117323878,239813888,117323878,122490010,239813888,,,,21744661,5.4,299704115,124
866,70000000,116877597,207154748,116877597,90277151,207154748,,,,37062535,3.15,208945355,111
867,70000000,104029443,175807183,104029443,71777740,175807183,6612772,6371169,12983941,29651193,3.51,124979558,100
868,70000000,101068340,207068340,101068340,106000000,207068340,,,,30060467,3.36,213467500,105
869,70000000,100614858,202726605,100614858,102111747,202726605,,,,25015518,4.02,190669849,130
870,70000000,99112101,250700000,99112101,151587899,250700000,,,,249567,4.62,232773079,93
871,70000000,98927592,172836993,98927592,73909401,172836993,21014292,18756516,39770808,30373794,3.26,131173358,120
872,70000000,97459240,250901649,97459240,153442409,250901649,4623375,5044817,9668192,23950245,4.07,99542110,100
873,70000000,83552429,213463976,83552429,129911547,213463976,16628125,14072658,30700783,35573187,2.35,113580721,116
874,70000000,80281096,172543519,80281096,92262423,172543519,,,,38291056,2.1,139360735,101
875,70000000,79883359,156815529,79883359,76932170,156815529,30414958,13037335,43452293,7515402,5.54,108390981,146
876,70000000,78120196,114658262,78120196,36538066,114658262,,,,20212543,3.86,144945896,139
877,70000000,78031620,158702748,78031620,80671128,158702748,16502163,7679987,24182150,22003433,3.55,102959705,118
878,70000000,72679278,183353431,72679278,110674153,183353431,14372270,13692891,28065161,21311407,3.41,90564268,100
879,70000000,70187658,117800000,70187658,47612342,117800000,,,,22052836,3.18,159291651,98
880,70000000,66432867,123954323,66432867,57521456,123954323,,,,207377,4.81,115759542,125
881,70000000,65011757,131011757,65011757,66000000,131011757,,,,17911366,3.63,171771258,125
882,70000000,62321039,160379930,62321039,98058891,160379930,18736142,10803548,29539690,25306725,2.46,84399595,89
883,70000000,59281555,122737201,59281555,63455646,122737201,3675753,13225870,16901623,20433071,2.9,71243608,101
884,70000000,55991880,220241723,55991880,164249843,220241723,10495485,8140879,18636364,23514615,2.38,73879124,92
885,70000000,55011732,94973540,55011732,39961808,94973540,54280852,,54280852,18006064,3.06,90538385,139
886,70000000,54763229,54793434,54763229,30205,54793434,,,,9319797,5.88,147071702,140
887,70000000,52474616,137431619,52474616,84957003,137431619,16295030,2646802,18941832,19011188,2.76,71695355,127
888,70000000,48475290,70546865,48475290,22071575,70546865,7245404,1695607,8941011,17816230,2.72,65897051,110
889,70000000,42996140,88933562,42996140,45937422,88933562,21498456,,21498456,3470000,4.59,71641616,96
890,70000000,40934175,116625798,40934175,75691623,116625798,,,,13931285,2.94,93951872,120
891,70000000,38634938,137022245,38634938,98387307,137022245,26183997,,26183997,9169779,4.21,60535554,128
892,70000000,38518613,61031932,38518613,22513319,61031932,12496057,4697177,17193234,14437269,2.67,52164646,123
893,70000000,38014727,67387455,38014727,29372728,67387455,4123841,7099695,11223536,11397820,3.34,40294864,118
894,70000000,37945884,131445884,37945884,93500000,131445884,,,,10020378,3.79,89101777,131
895,70000000,37760080,49730854,37760080,11970774,49730854,,,,15580278,2.42,65548092,107
896,70000000,36793804,69792704,36793804,32998900,69792704,18656349,,18656349,13471488,2.73,57650750,122
897,70000000,33561137,60279822,33561137,26718685,60279822,,,,12752803,2.63,62239214,92
898,70000000,30157016,69157016,30157016,39000000,69157016,,,,11007367,2.74,55953978,116
899,70000000,28212337,58757178,28212337,30544841,58757178,29292355,,29292355,15488870,1.82,47446014,104
900,70000000,27569558,49252761,27569558,21683203,49252761,3254525,1971998,5226523,10288932,2.68,34358361,116
901,70000000,25135965,103735965,25135965,78600000,103735965,9590396,5968094,15558490,9885732,2.54,33328634,115
902,70000000,25124986,65409046,25124986,40284060,65409046,7565110,4510035,12075145,9352008,2.69,34154770,105
903,70000000,19870567,19870567,19870567,,,,,,7076110,2.81,45672639,96
904,70000000,19076815,33076815,19076815,14000000,33076815,,,,7771753,2.45,35395526,128
905,70000000,18990542,25852508,18990542,6861966,25852508,,,,9013548,2.11,35235454,98
906,70000000,18848538,58953319,18848538,40104781,58953319,8334750,4545673,12880423,8868318,2.13,24869913,98
907,70000000,18211013,73591500,18211013,55380487,73591500,19466116,,19466116,7133049,2.55,28534110,96
908,70000000,15753600,46247409,15753600,30493809,46247409,319469,388248,707717,5500990,2.86,15753600,91
909,70000000,14294842,14294842,14294842,,,,,,7010474,2.04,26522950,91
910,70000000,13596911,13596911,13596911,,,,,,5271248,2.58,25896589,95
911,70000000,8462347,20107933,8462347,11645586,20107933,1641958,442992,2084950,3747780,2.26,11165730,88
912,70000000,8005980,19665004,8005980,11659024,19665004,1779341,1477487,3256828,3901815,2.05,10237777,133
913,70000000,5946136,35417162,5946136,29471026,35417162,6901695,,6901695,3201420,1.86,9786159,114
914,70000000,619423,38992292,619423,38372869,38992292,,,,33262,10.03,846305,
915,70000000,0,0,,,,,,,,,,118
916,70000000,0,0,,,,,,,,,,
917,70000000,0,0,,,,,,,,,,
918,69000000,252756705,544707293,252756705,291950588,544707293,202634838,78871047,281505885,56397125,4.48,343763840,95
919,69000000,73026337,86796502,73026337,13770165,86796502,14471090,2432145,16903235,23527839,3.1,99774894,114
920,69000000,46874505,145951861,46874505,99077356,145951861,4019703,5282863,9302566,16853422,2.78,55467304,139
921,68000000,300531751,706101755,300531751,405570004,706101755,173399317,32876216,206275533,64832191,4.64,410612453,124
922,68000000,123277080,172039087,123277080,48762007,172039087,1020147,3653733,4673880,44366910,2.78,126203885,131
923,68000000,118471320,193500000,118471320,75028680,193500000,,,,31178526,3.8,219814247,124
924,68000000,81476385,217214143,81476385,135737758,217214143,13990236,11281216,25271452,33507870,2.43,104189261,115
925,68000000,71069884,113542091,71069884,42472207,113542091,,,,19018807,3.74,135359242,124
926,68000000,45060734,87173475,45060734,42112741,87173475,8477122,4431231,12908353,13535374,3.33,61255323,106
927,68000000,35324232,77224232,35324232,41900000,77224232,,,,10608297,3.33,87513776,110
928,68000000,33685268,75685268,33685268,42000000,75685268,,,,15027423,2.24,60220088,133
929,68000000,29762011,33462011,29762011,3700000,33462011,,,,10017865,2.97,63156387,121
930,68000000,28965197,60265197,28965197,31300000,60265197,,,,6712361,4.32,61117630,158
931,68000000,24449754,54462971,24449754,30013217,54462971,1180629,1641775,2822404,4954287,4.94,29248706,135
932,67972729,3900193,16400193,3900193,12500000,16400193,,,,1950793,2,4134130,116
933,67500000,214151550,351097803,214151550,136946253,351097803,84798251,31612285,116410536,70217070,3.05,289976416,101
934,67500000,39394666,118556530,39394666,79161864,118556530,23575394,,23575394,12884416,3.06,59141786,128
935,67500000,37519139,137489730,37519139,99970591,137489730,9677578,8662665,18340243,16306974,2.3,50811088,105
936,67000000,139051884,261067171,139051884,122015287,261067171,,,,52202495,2.66,139051888,99
937,67000000,23855569,47535251,23855569,23679682,47535251,2134791,4696455,6831246,7037017,3.39,28013393,98
938,67000000,18115927,18149997,18115927,34070,18149997,,,,7010333,2.58,44183188,101
939,67000000,5932060,25357771,5932060,19425711,25357771,,,,2746312,2.16,9294710,110
940,66000000,87707396,211700000,87707396,123992604,211700000,,,,20145595,4.35,186119233,112
941,66000000,83898313,189176423,83898313,105278110,189176423,,,,30138758,2.78,192840897,120
942,66000000,50701325,113461527,50701325,62760202,113461527,5437561,6963231,12400792,19153698,2.65,60932031,95
943,66000000,43568507,194169619,43568507,150601112,194169619,6247363,4633899,10881262,17844939,2.44,57486959,130
944,65000000,216335085,485035085,216335085,268700000,485035085,,,,30576104,7.08,492704600,169
945,65000000,182805123,374105123,182805123,191300000,374105123,,,,33614543,5.44,359213887,126
946,65000000,182207973,273346281,182207973,91138308,273346281,25018283,12807328,37825611,944308,7.1,245679563,149
947,65000000,176387405,386116343,176387405,209728938,386116343,,,,46312454,3.81,327273006,81
948,65000000,174304288,466281862,174304288,291977574,466281862,,,,27788331,6.27,366621030,136
949,65000000,173772767,335802271,173772767,162029504,335802271,,,,25353380,6.85,429529930,139
950,65000000,167500092,527361714,167500092,359861622,527361714,18931288,19729210,38660498,44076225,3.8,198205370,97
951,65000000,149260140,435292452,149260140,286032312,435292452,47903576,37730135,85633711,27281735,5.47,200696165,158
952,65000000,139225854,172844592,139225854,33618738,172844592,,,,29008696,4.8,258258487,105
953,65000000,119394839,261399684,119394839,142004845,261399684,,,,25533700,4.68,304980828,113
954,65000000,115821495,250800000,115821495,134978505,250800000,,,,18426749,6.29,259547678,119
955,65000000,115637895,163527824,115637895,47889929,163527824,11298218,9121999,20420217,30621445,3.78,150407778,137
956,65000000,110825712,233844106,110825712,123018394,233844106,16774403,7707798,24482201,29085719,3.81,141720186,115
957,65000000,100539043,211739043,100539043,111200000,211739043,28116838,10007285,38124123,32689406,3.08,137356119,95
958,65000000,100468793,128107642,100468793,27638849,128107642,69671961,,69671961,30940732,3.25,150843117,95
959,65000000,100458310,262758310,100458310,162300000,262758310,,1404798,1404798,11084370,5.66,247279553,100
960,65000000,93828745,233700000,93828745,139871255,233700000,,,,22525855,4.17,215666060,140
961,65000000,90454043,128874043,90454043,38420000,128874043,,,,18093776,5,180881910,130
962,65000000,85911262,139829625,85911262,53918363,139829625,11597139,6608759,18205898,15861939,5.21,112178092,118
963,65000000,84049211,255000000,84049211,170950789,255000000,,,,20458022,4.11,218852768,118
964,65000000,76233151,137768975,76233151,61535824,137768975,12240199,15532447,27772646,21514095,3.54,95005013,103
965,65000000,70645997,148345997,70645997,77700000,148345997,,,,15583510,4.53,172299510,108
966,65000000,70278893,163295654,70278893,93016761,163295654,37535827,,37535827,18730762,3.75,115665099,129
967,65000000,69688384,69688384,69688384,,,,,,12687726,5.49,139376765,104
968,65000000,63803100,141205169,63803100,77402069,141205169,,,,11528498,5.53,113347679,117
969,65000000,59650222,180148897,59650222,120498675,180148897,5762610,2925668,8688278,17435092,3.42,80782582,83
970,65000000,58568815,214766238,58568815,156197423,214766238,13908009,15163553,29071562,9724200,6.02,65777965,95
971,65000000,55791346,104364755,55791346,48573409,104364755,,,,21706163,2.57,118255910,159
972,65000000,54760791,156974557,54760791,102213766,156974557,12865358,4002517,16867875,17405930,3.15,74160967,120
973,65000000,53862963,168065700,53862963,114202737,168065700,4610291,3399666,8009957,18685137,2.88,68878142,105
974,65000000,52397389,131353165,52397389,78955776,131353165,,,,16061271,3.26,90723294,113
975,65000000,44806783,48164150,44806783,3357367,48164150,12766848,9109077,21875925,14276668,3.14,60654209,93
976,65000000,43545364,43545364,43545364,,,26910732,,26910732,6114264,5.38,70213158,
977,65000000,43482270,221297061,43482270,177814791,221297061,4607641,5120462,9728103,7222035,3.28,55603660,121
978,65000000,42345531,240647629,42345531,198302098,240647629,16322873,7813276,24136149,21052227,2.01,57347336,95
979,65000000,41657076,152255188,41657076,110598112,152255188,3171179,4197624,7368803,10354073,4.02,49024368,96
980,65000000,39017984,39017984,39017984,,,,,,12045395,3.24,89683121,
981,65000000,37030102,100820947,37030102,63790845,100820947,,,,11035485,3.36,78516766,139
982,65000000,36316032,72516819,36316032,36200787,72516819,25980227,,25980227,12621090,2.88,54524626,110
983,65000000,33447612,33447612,33447612,,,,,,10183230,3.28,81548921,81
984,65000000,32598931,62761005,32598931,30162074,62761005,,,,10207869,3.19,64859595,135
985,65000000,28045540,58545540,28045540,30500000,58545540,22193748,,22193748,13427872,2.09,47165508,95
986,65000000,26900336,38253433,26900336,11353097,38253433,,,,10833633,2.48,48050136,136
987,65000000,24409722,56824633,24409722,32414911,56824633,,,,12804793,1.91,41050973,97
988,65000000,19551067,41636243,19551067,22085176,41636243,10299445,602200,10901645,6702923,2.92,28094383,100
989,65000000,19075290,74575290,19075290,55500000,74575290,7808824,5509271,13318095,8610441,2.22,25169101,92
990,65000000,17291078,39177495,17291078,21886417,39177495,1075869,2685859,3761728,7008297,2.47,20304766,95
991,65000000,17218916,17218916,17218916,,,,,,7082820,2.43,44090232,95
992,65000000,13757804,40650842,13757804,26893038,40650842,3878312,2731595,6609907,6317683,2.18,18152884,101
993,65000000,10378555,21774432,10378555,11395877,21774432,767156,806364,1573520,33336,2.03,12476998,129
994,65000000,10014234,10014234,10014234,,,,,,4536625,2.21,20028464,105
995,65000000,2070920,26670920,2070920,24600000,26670920,,,,68447,2.33,3482759,
996,65000000,74070,122519874,74070,122445804,122519874,,,,30346,2.44,94713,126
997,65000000,0,516279,,516279,516279,,,,,,,97
998,65000000,0,0,,,,,,,,,,116
999,65000000,0,0,,,,987611,2781565,3769176,,,,99
"1,000",64000000,58636047,101636047,58636047,43000000,101636047,33319301,,33319301,21613176,2.71,96503293,
"1,001",64000000,48947356,113350187,48947356,64402831,113350187,1982795,1434926,3417721,16627491,2.94,51883234,97
"1,002",64000000,31054924,63200000,31054924,32145076,63200000,,,,13012585,2.39,65900016,
"1,003",63700000,2223293,133603463,2223293,131380170,133603463,11674521,,11674521,37079,3.75,3488117,147
"1,004",63000000,415404543,1058454230,415404543,643049687,1058454230,,,,50159460,8.28,1003158330,126
"1,005",63000000,213117789,296338663,213117789,83220874,296338663,,,,73071188,2.92,395423358,94
"1,006",63000000,108085305,188494082,108085305,80408777,188494082,45913119,14301463,60214582,37543710,2.88,146930592,95
"1,007",63000000,36249674,68310140,36249674,32060466,68310140,4196047,4988795,9184842,14846778,2.44,43564265,112
"1,008",63000000,25052000,25052000,25052000,,,,,,7543504,3.32,66191313,190
"1,009",62000000,122012656,207500000,122012656,85487344,207500000,,,,20348017,6,322364322,144
"1,010",62000000,77086030,127630030,77086030,50544000,127630030,,,,19553310,3.94,154172057,116
"1,011",62000000,60022813,107822813,60022813,47800000,107822813,,,,10014558,5.99,148394753,113
"1,012",62000000,54117416,151813358,54117416,97695942,151813358,12564459,14522999,27087458,4610676,3.45,68388104,167
"1,013",62000000,32235793,40159017,32235793,7923224,40159017,9726296,,9726296,13907130,2.32,48398589,87
"1,014",62000000,15738632,18708848,15738632,2970216,18708848,,,,7160521,2.2,29975698,125
"1,015",61000000,167767189,367128535,167767189,199361346,367128535,16654960,9392984,26047944,37513109,4.47,221298459,149
"1,016",61000000,160215764,296650356,160215764,136434592,296650356,5659020,7370746,13029766,47547231,3.37,169825554,96
